source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	Abnormal testis morphology	HP:0000035	rdfs:label	kk	Аталық бездің морфологиялық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal penis morphology	HP:0000036	rdfs:label	kk	Жыныс мүшесінің морфологиялық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Male pseudohermaphroditism	HP:0000037	rdfs:label	kk	Еркектегі жалған гермафродитизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Epispadias	HP:0000039	rdfs:label	kk	Эписпадия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Long penis	HP:0000040	rdfs:label	kk	Ұзын жыныс мүшесі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Chordee	HP:0000041	rdfs:label	kk	Хордэ (жыныс мүшесінің қисаюы)	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Absent external genitalia	HP:0000042	rdfs:label	kk	Сыртқы жыныс мүшелерінің болмауы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypogonadotropic hypogonadism	HP:0000044	rdfs:label	kk	Гипогонадотропты гипогонадизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal scrotum morphology	HP:0000045	rdfs:label	kk	Мошонка морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Small scrotum	HP:0000046	rdfs:label	kk	Кіші мошонка	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypospadias	HP:0000047	rdfs:label	kk	Гипоспадия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Bifid scrotum	HP:0000048	rdfs:label	kk	Айыр мошонка	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Shawl scrotum	HP:0000049	rdfs:label	kk	Шаль тәрізді мошонка	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypoplastic male external genitalia	HP:0000050	rdfs:label	kk	Ерлердің сыртқы жыныс мүшелерінің гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Perineal hypospadias	HP:0000051	rdfs:label	kk	Шаткіл гипоспадиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urethral atresia, male	HP:0000052	rdfs:label	kk	Уретра атрезиясы, ерлерде	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Macroorchidism	HP:0000053	rdfs:label	kk	Макроорхизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Micropenis	HP:0000054	rdfs:label	kk	Микропенис	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal female external genitalia morphology	HP:0000055	rdfs:label	kk	Әйелдердің сыртқы жыныс мүшелері морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal clitoris morphology	HP:0000056	rdfs:label	kk	Клитор морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal labia morphology	HP:0000058	rdfs:label	kk	Жыныс еріндерінің морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypoplastic labia majora	HP:0000059	rdfs:label	kk	Үлкен жыныс еріндерінің гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Clitoral hypoplasia	HP:0000060	rdfs:label	kk	Клитор гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ambiguous genitalia, female	HP:0000061	rdfs:label	kk	Екіұшты жыныс мүшелері, әйелдерде	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ambiguous genitalia	HP:0000062	rdfs:label	kk	Екіұшты жыныс мүшелері	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Fused labia minora	HP:0000063	rdfs:label	kk	Кіші жыныс еріндерінің біріккені	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypoplastic labia minora	HP:0000064	rdfs:label	kk	Кіші жыныс еріндерінің гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Labial hypertrophy	HP:0000065	rdfs:label	kk	Жыныс еріндерінің гипертрофиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Labial hypoplasia	HP:0000066	rdfs:label	kk	Жыныс еріндерінің гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urethral atresia, female	HP:0000067	rdfs:label	kk	Уретра атрезиясы, әйелдерде	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urethral atresia	HP:0000068	rdfs:label	kk	Уретра атрезиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the ureter	HP:0000069	rdfs:label	kk	Несепағардың ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ureterocele	HP:0000070	rdfs:label	kk	Уретероцеле	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ureteral stenosis	HP:0000071	rdfs:label	kk	Несепағар стенозы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hydroureter	HP:0000072	rdfs:label	kk	Гидроуретер	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ureteral duplication	HP:0000073	rdfs:label	kk	Несепағардың қосарлануы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ureteropelvic junction obstruction	HP:0000074	rdfs:label	kk	Несепағар-жамбас түйіскен жерінің бітелуі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal duplication	HP:0000075	rdfs:label	kk	Бүйректің қосарлануы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Vesicoureteral reflux	HP:0000076	rdfs:label	kk	Везикоуретеральды рефлюкс	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the kidney	HP:0000077	rdfs:label	kk	Бүйректің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the genital system	HP:0000078	rdfs:label	kk	Жыныс жүйесінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the urinary system	HP:0000079	rdfs:label	kk	Несеп шығару жүйесінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of reproductive system physiology	HP:0000080	rdfs:label	kk	Репродуктивті жүйе физиологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Duplicated collecting system	HP:0000081	rdfs:label	kk	Қосарланған жинағыш жүйе	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal insufficiency	HP:0000083	rdfs:label	kk	Бүйрек жеткіліксіздігі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Horseshoe kidney	HP:0000085	rdfs:label	kk	Тағатәрізді бүйрек	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ectopic kidney	HP:0000086	rdfs:label	kk	Эктопиялық бүйрек	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal hypoplasia	HP:0000089	rdfs:label	kk	Бүйрек гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nephronophthisis	HP:0000090	rdfs:label	kk	Нефронофтиз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal renal tubule morphology	HP:0000091	rdfs:label	kk	Бүйрек түтікшесі морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal tubular atrophy	HP:0000092	rdfs:label	kk	Бүйрек түтікшесінің атрофиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Proteinuria	HP:0000093	rdfs:label	kk	Протеинурия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal renal glomerulus morphology	HP:0000095	rdfs:label	kk	Бүйрек шумағы морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Glomerular sclerosis	HP:0000096	rdfs:label	kk	Шумақ склерозы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Focal segmental glomerulosclerosis	HP:0000097	rdfs:label	kk	Фокальді-сегментарлы гломерулосклероз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Tall stature	HP:0000098	rdfs:label	kk	Биік бой	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Glomerulonephritis	HP:0000099	rdfs:label	kk	Гломерулонефрит	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nephrotic syndrome	HP:0000100	rdfs:label	kk	Нефроздық синдром	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Polyuria	HP:0000103	rdfs:label	kk	Полиурия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal agenesis	HP:0000104	rdfs:label	kk	Бүйрек агенезиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Enlarged kidney	HP:0000105	rdfs:label	kk	Бүйректің үлкеюі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal cyst	HP:0000107	rdfs:label	kk	Бүйрек кистасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal corticomedullary cysts	HP:0000108	rdfs:label	kk	Бүйректің кортикомедулярлы кисталары	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal dysplasia	HP:0000110	rdfs:label	kk	Бүйрек дисплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal juxtaglomerular cell hypertrophy/hyperplasia	HP:0000111	rdfs:label	kk	Бүйректің юкстагломерулярлы жасушаларының гипертрофиясы/гиперплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nephropathy	HP:0000112	rdfs:label	kk	Нефропатия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Polycystic kidney dysplasia	HP:0000113	rdfs:label	kk	Поликистозды бүйрек дисплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Proximal tubulopathy	HP:0000114	rdfs:label	kk	Проксимальді тубулопатия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal phosphate wasting	HP:0000117	rdfs:label	kk	Бүйрек арқылы фосфат жоғалту	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Phenotypic abnormality	HP:0000118	rdfs:label	kk	Фенотиптік ауытқу	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the genitourinary system	HP:0000119	rdfs:label	kk	Несеп-жыныс жүйесінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nephrocalcinosis	HP:0000121	rdfs:label	kk	Нефрокальциноз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Unilateral renal agenesis	HP:0000122	rdfs:label	kk	Біржақты бүйрек агенезиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nephritis	HP:0000123	rdfs:label	kk	Нефрит	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal tubular dysfunction	HP:0000124	rdfs:label	kk	Бүйрек түтікшесінің дисфункциясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Pelvic kidney	HP:0000125	rdfs:label	kk	Жамбас бүйрегі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hydronephrosis	HP:0000126	rdfs:label	kk	Гидронефроз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal salt wasting	HP:0000127	rdfs:label	kk	Бүйрек арқылы тұз жоғалту	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Renal potassium wasting	HP:0000128	rdfs:label	kk	Бүйрек арқылы калий жоғалту	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the uterus	HP:0000130	rdfs:label	kk	Жатырдың ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Uterine leiomyoma	HP:0000131	rdfs:label	kk	Жатыр лейомиомасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Menorrhagia	HP:0000132	rdfs:label	kk	Менорагия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Gonadal dysgenesis	HP:0000133	rdfs:label	kk	Гонадалар дисгенезиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Female hypogonadism	HP:0000134	rdfs:label	kk	Әйелдер гипогонадизмі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypogonadism	HP:0000135	rdfs:label	kk	Гипогонадизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Bifid uterus	HP:0000136	rdfs:label	kk	Қос мүйізді жатыр	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the ovary	HP:0000137	rdfs:label	kk	Аналық безінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ovarian cyst	HP:0000138	rdfs:label	kk	Аналық без кистасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Uterine prolapse	HP:0000139	rdfs:label	kk	Жатыр түсуі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the menstrual cycle	HP:0000140	rdfs:label	kk	Етеккір циклінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Amenorrhea	HP:0000141	rdfs:label	kk	Аменорея	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal vagina morphology	HP:0000142	rdfs:label	kk	Қынап морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Rectovaginal fistula	HP:0000143	rdfs:label	kk	Ректовагиналды фистула	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Decreased fertility	HP:0000144	rdfs:label	kk	Фертильділіктің төмендеуі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Transverse vaginal septum	HP:0000145	rdfs:label	kk	Қынаптың көлденең перегі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Polycystic ovaries	HP:0000147	rdfs:label	kk	Поликистозды аналық бездер	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Vaginal atresia	HP:0000148	rdfs:label	kk	Қынап атрезиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ovarian gonadoblastoma	HP:0000149	rdfs:label	kk	Аналық бездің гонадобластомасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Gonadoblastoma	HP:0000150	rdfs:label	kk	Гонадобластома	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Aplasia of the uterus	HP:0000151	rdfs:label	kk	Жатыр аплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of head or neck	HP:0000152	rdfs:label	kk	Бас немесе мойын ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the mouth	HP:0000153	rdfs:label	kk	Ауыз қуысының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Wide mouth	HP:0000154	rdfs:label	kk	Кең ауыз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Oral ulcer	HP:0000155	rdfs:label	kk	Ауыз қуысының жарасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the tongue	HP:0000157	rdfs:label	kk	Тіл ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Macroglossia	HP:0000158	rdfs:label	kk	Макроглоссия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal lip morphology	HP:0000159	rdfs:label	kk	Ерін морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Narrow mouth	HP:0000160	rdfs:label	kk	Тар ауыз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Median cleft upper lip	HP:0000161	rdfs:label	kk	Жоғарғы ерніннің медианды жырығы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Glossoptosis	HP:0000162	rdfs:label	kk	Глоссоптоз	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal oral cavity morphology	HP:0000163	rdfs:label	kk	Ауыз қуысы морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the dentition	HP:0000164	rdfs:label	kk	Тіс жүйесінің ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Severe periodontitis	HP:0000166	rdfs:label	kk	Ауыр периодонтит	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal gingiva morphology	HP:0000168	rdfs:label	kk	Қызыл иек морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Gingival fibromatosis	HP:0000169	rdfs:label	kk	Қызыл иек фиброматозы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Microglossia	HP:0000171	rdfs:label	kk	Микроглоссия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal uvula morphology	HP:0000172	rdfs:label	kk	Тілшік морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal palate morphology	HP:0000174	rdfs:label	kk	Таңдай морфологиясының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
