id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0008754	Laryngeal calcification	تكلس الحنجرة	ترسبات كلسية في الحنجرة	تكلس (ترسبات غير طبيعية للكالسيوم) في أنسجة الحنجرة.
HP:0008755	Laryngotracheomalacia	تليّن الحنجرة والقصبة الهوائية	تليّن في الحنجرة والقصبة	لا يوجد تعريف متاح.
HP:0008756	Bowing of the vocal cords	تقوس الحبال الصوتية	انحناء في الحبال الصوتية	تقوس (انحناء غير طبيعي) في الحبال الصوتية.
HP:0008757	Unilateral vocal cord paralysis	شلل الحبل الصوتي الأحادي	شلل في حبل صوتي واحد	فقدان القدرة على تحريك الحبل الصوتي من جهة واحدة.
HP:0008760	Violent behavior	سلوك عنيف	تصرف عنيف	السلوك والتصرفات، سواء كانت لفظية أو غير لفظية، بما في ذلك على سبيل المثال لا الحصر العدوان اللفظي و/أو الجسدي، الهجمات، التهديدات، التحرش، الترويع، وغيرها من السلوكيات التخريبية بأي شكل أو من خلال أي وسيلة، التي تسبب أو لديها القدرة على التسبب في خوف معقول من الأذى الجسدي من أي فرد أو مجموعة تجاه أي شخص أو ممتلكات. غالباً ما يُعرَف كوصف للفعل العنيف المميز باستخدام القوة الجسدية أو الغضب أو النشاط المفاجئ الشديد.
HP:0032213	Increased urinary renal tubular epithelial cell count	زيادة عدد خلايا الظهارة الأنبوبية الكلوية في البول	زيادة خلايا الظهارة في البول	زيادة في عدد خلايا الظهارة الأنبوبية الكلوية لكل حقل قوي عند تحليل البول.
HP:0032214	Increased urinary transitional epithelial cell count	زيادة عدد خلايا الظهارة الانتقالية في البول	زيادة خلايا الظهارة في البول	زيادة في عدد خلايا الظهارة الانتقالية لكل حقل قوي عند تحليل البول.
HP:0032215	Disseminated cutaneous warts	ثآليل جلدية منتشرة	ثآليل جلدية	وجود ثآليل جلدية متعددة في أجزاء مختلفة من الجسم، مثل الرقبة والجذع والأطراف.
HP:0032216	Lymphocytic infiltration of the colorectal mucosa	ارتشاح لمفاوي في مخاطية القولون والمستقيم	خلايا لمفاوية في القولون	زيادة غير طبيعية في عدد الخلايا اللمفاوية داخل النسيج الطلائي. يمكن ملاحظة هذا الزيادة كعدد كبير من الخلايا اللمفاوية السطحية داخل النسيج الطلائي، كما يُرى (على سبيل المثال) مع صبغة الهيماتوكسيلين والإيوزين في عينة وخز من القولون مأخوذة خلال تنظير القولون.
HP:0032217	Indurated nodule	عقدة متصلبة	تورم صلب على الجلد	عقدة على الجلد تكون صلبة بشكل غير اعتيادي (متصلبة).
HP:0032218	Decreased CD4+ T cell proportion	انخفاض نسبة الخلايا التائية CD4+	نقص خلايا المناعة	انخفاض غير طبيعي في خلايا المساعدة CD3+CD4+، التي تُقاس كنسبة من إجمالي خلايا CD3+ الموجودة في الدم، مقارنة بنطاق مرجعي لجنس وفئة عمرية معينة. تُقاس هذه عادة ضمن الفئة الإيجابية لمستقبلات TCR ألفا/بيتا.
HP:0032219	Increased CD4+ T cell proportion	زيادة نسبة الخلايا التائية CD4+	زيادة خلايا المناعة	زيادة غير طبيعية في خلايا المساعدة CD3+CD4+، التي تُقاس كنسبة من إجمالي خلايا CD3+ الموجودة في الدم، مقارنة بنطاق مرجعي لجنس وفئة عمرية معينة. تُقاس هذه عادة ضمن الفئة الإيجابية لمستقبلات TCR ألفا/بيتا.
HP:0032220	Interface hepatitis	التهاب الكبد عند الواجهة	التهاب الكبد عند التقاء الأنسجة	التهاب في الكبد يتميز بتسلل خلايا وحيدة النواة حيث تمتد خلايا التهابية من البوابة عبر الصفيحة الحدودية بين مسار البوابة ونسيج الكبد.
HP:0032221	Periportal emperipolesis	التهم البوابي المحيطي	نشاط خلايا الكبد غير طبيعي	ابتلاع الخلايا الليمفاوية بواسطة خلايا الكبد، الذي يحدث عادة في منطقة التهاب الكبد المتصالب.
HP:0032222	Serrated intestinal polyps	سلائل معوية مسننة	بروزات معوية غير مألوفة	وجود عدة سلائل مسننة في الأمعاء. على عكس الأروام الغدية التقليدية، التي تكون جميعها مشوهة، فإن غالبية الآفات المسننة لا تحتوي على تشوهات. الفئة المسننة تشمل السلائل الفائقة التي لا تعتبر ما قبل سرطانية؛ و السلائل المسننة الجاسية بما في ذلك الأروام الغدية المسننة التقليدية. السلائل المسننة الجاسية تكون أكبر في العموم وعادة ما تقع في القولون الأقرب، وتملك سطحًا غير منتظم ونمطًا فوق السطح يوصف بالغيوم وحواف غير واضحة مقارنةً بالسلائل الفائقة.
HP:0032201	Rotator cuff tear	تمزق الكفة المدورة	تمزق أو انفصال الأوتار في الكتف	يصف مصطلح الكفة المدورة الأوتار التي تربط عضلات تحت الشوكة وفوق الشوكة والعضلة المدورة الصغيرة وعضلة تحت الأخرمية برأس العظمة العضدية. يحدث تمزق الكفة المدورة عادةً في منطقة اتصال الوتر بعظمة العضد، وخاصة عند الارتباط بنقطة فوق الشوكة والناتئ الأكبر للعظمة العضدية.
HP:0032202	Vulvar intraepithelial neoplasia	تنشّؤ داخل الظهارة الفرجية	آفة في بطانة الفرج	تنشّؤ داخل الظهارة الفرجية يُعترف به على نطاق واسع كآفة مسبقة لسرطان الخلايا الحرشفية الفرجية (VSCC). ينشأ سرطان الخلايا الحرشفية الفرجية إما من خلال مسار مرتبط بفيروس الورم الحليمي البشري (HPV)، أو بشكل أكثر شيوعًا، من خلال آلية غير مرتبطة بفيروس الورم الحليمي البشري، غالبًا ما ترتبط بحالات التهابية مزمنة مثل الحزاز المتصلب. وفقا لذلك، تم التعرف على نوعين مميزين من التنشّؤ: الآفة الحرشفية داخل الظهارة المرتبطة بفيروس الورم الحليمي البشري (HSIL/uVIN) والتنشّؤ الفرج المتمايز غير المرتبط بفيروس الورم الحليمي البشري (dVIN). يتم التعرف على HSIL بشكل كلينيكي من خلال مظهره متعدد البؤر، الوردي، وعلى النسيجية من خلال غير الطبيعة الواضحة في الخلايا والهندسة. بينما ينتج التنشّؤ الفرج المتمايز عادةً آفات غير محددة، وعلى النسيجية، يتشابه بشكل لافت مع اضطرابات الظهارة غير الورمية (NNED)، وخاصة الحزاز المتصلب. نتيجة لذلك، نادرا ما يتم التعرف على dVIN قبل تشخيص الورم الخبيث الغازي، على الرغم من أنه آفة مسبقة لغالبية سرطان الخلايا الحرشفية الفرجية.
HP:0032203	Lymphoid nodular hyperplasia	فرط التنسج العقيدي اللمفاوي	زيادة في العقد اللمفاوية	فرط التنسج العقيدي اللمفاوي في النهاية البائسة والأمعاء الغليظة يعد استجابة مخاطية لمحفزات غير نوعية، غالبًا ما تكون عدوى، وبالتالي اعتبرت ظاهرة فيزيولوجية مرضية خلال الطفولة. يمكن تحديدها بواسطة المنظار الكولوني، حيث يتم تعريف العقدة اللمفاوية كجريب بارز بقطر لا يتجاوز 2 مم، ويعرف فرط التنسج العقيدي اللمفاوي كعنقود لا يزيد عن 10 من هذه العقد اللمفاوية البارزة.
HP:0032204	Chronic active Epstein-Barr virus infection	عدوى إبشتاين بار الفيروسية النشطة المزمنة	عدوى فيروسية مستمرة	تعد عدوى فيروس إبشتاين بار النشطة المزمنة نتيجة غير شائعة للعدوى بالفيروس وقد تظهر على شكل متلازمة متغيرة أو متسارعة. في هذه العدوى، يُختل توازن الفيروس والمضيف على عكس عدوى إبشتاين بار الحادة.
HP:0032205	Increased circulating galectin-3 level	زيادة مستويات الجلاكتين-3 في الدم	زيادة الجلاكتين-3 في الدم	زيادة مستويات الجلاكتين-3 في الدورة الدموية.
HP:0032208	Increased urinary type 1 collagen N-terminal telopeptide level	زيادة مستوى النهايات الطرفية للكولاجين النوع الأول في البول	زيادة منتج انهيار الكولاجين في البول	زيادة تركيز النهايات الطرفية للكولاجين النوع الأول (NTx) في البول. يتم إجراء الفحص عادةً على مدى فترة زمنية، مثل جمع 10 سم مكعب من البول في الصباح بعد صيام لمدة 12 ساعة خلال الليل أو لمدة 24 ساعة.
HP:0032210	Decreased circulating free T3	تناقص تركيز T3 الحر في الدم	انخفاض هرمون T3 الحر	تقليل في تركيز الهرمون الثلاثي يودوثيرونين في الدم.
HP:0032211	Increased urinary epithelial cell count	زيادة عدد الخلايا الظهارية في البول	زيادة الخلايا في البول	زيادة في عدد الخلايا الظهارية لكل حقل عالي القدرة في تحليل البول.
HP:0032212	Increased urinary squamous epithelial cell count	زيادة عدد خلايا البشرة الحرشفية في البول	زيادة الخلايا الحرشفية في البول	زيادة عدد خلايا البشرة الحرشفية لكل حقل عالي القدرة في تحليل البول.
HP:0008794	Dysplastic iliac wing	جناح الحرقفة التنسجي	عيب في جناح الحرقفة	مصطلح عام يصف وجود خلل خلقي في جناح الحرقفة ناتج عن تطور غير طبيعي.
HP:0008796	Femoral retroversion	انكفاء خلفي في عظم الفخذ	دوران الوركين للخارج	دوران خلفي غير طبيعي للورك بالنسبة للركبة بحيث يتم دوران الوركين للخارج مع توجيه القدم للخارج بدلاً من التقدم مباشرة (بروز القدم نحو الخارج).
HP:0008797	Early ossification of capital femoral epiphyses	التعظم المبكر في رأس مشاشة عظم الفخذ	التعظم المبكر لنهاية عظم الفخذ	تسارع في تطور التعظم في المشاشة القريبة لعظم الفخذ.
HP:0008798	Widened greater sciatic notch	اتساع في الثلمة الوركية العظمى	اتساع في الثلمة الوركية العظمى	المفصل العجزي الحرقفي في الحوض العظمي يربط العجز بالحرقف في الحوض، وهما مرتبطتان بأربطة قوية. تقع الثلمة مباشرة فوق المفصل. يشير هذا المصطلح إلى زيادة في البعد الجانبي للثلمة.
HP:0008800	Limited hip movement	حركة محدودة للورك	حركة الورك محدودة	انخفاض القدرة على تحريك عظم الفخذ في مفصل الورك بسبب انخفاض في مدى حركة الورك.
HP:0008804	Broad femoral head	رأس الفخذ العريض	رأس الفخذ العريض	زيادة في عرض رأس عظم الفخذ.
HP:0008807	Acetabular dysplasia	خلل تنسجي في الجوف الحقي	خلل في تكوين الجوف الحقي	جوف الحقي أصغر من المعدل الطبيعي مما يؤدي إلى تغطية غير كافية لرأس عظم الفخذ، مما يتسبب في ضغوط غير طبيعية على مفصل الورك وعدم استقرار وألم.
HP:0008808	High iliac wing	الجناح الحرقفي العالي	جناح الحرقفة العالي	زيادة في ارتفاع جناح الحرقفة (أو الآلة) الذي هو الجزء الكبير المتوسع الذي يحد الحوض الأكبر من الجوانب).
HP:0032223	Blood group	فصيلة الدم	نوع الدم	أي من الأنواع المختلفة لدم الإنسان التي تحدد خصائص المستضدات فيه مدى التوافق في عمليات النقل. بينما تعد نظم ABO و Rhesus الأكثر شهرةً، يوجد في المجموع حوالي 300 مستضد مختلف لفصائل الدم موزعة عبر 34 نظامًا مختلفًا لفصائل الدم.
HP:0032224	ABO blood group	فصائل الدم ABO	أنواع دم A و B و O	يتكون نظام ABO من مستضدات A و B وأجسام مضادة ضد هذه المستضدات.
HP:0032225	Perifollicular fibroma	ورم ليفي حول الجريب	ورم جلدي نادر حول الجريب	الورم الليفي حول الجريب هو ورم حميد نادر في الجلد يظهر تمايزًا في غمد النسيج الضام لبصيلات الشعر. يمكن أن يظهر كبثور منفردة أو كمجموعة من الآفات. ومن الناحية النسيجية، تتألف الآفة من ترتيب دائري لأنسجة ليفية خلوية حول جريب شعر طبيعي.
HP:0032227	Sebaceous hyperplasia	فرط التنسج الدهني	زيادة في الغدد الدهنية	حالة جلدية شائعة وغير ضارة تشمل تضخم الغدد الدهنية تتميز بآفات فردية أو متعددة تظهر كحطاطات صفراء وناعمة وصغيرة مع تجويف مركزي. تقع الآفات عادة في الوجه المركزي (خصوصاً الأنف والخدين والجبهة) ولكن قد تحدث أيضًا في أماكن أخرى مثل الصدر والفم وكيس الصفن والقلفة وجذع القضيب والفَرْج والهالة.
HP:0032228	Trichodiscoma	تريخوديسكوما	ورم ليفي بسيط في الشعر	ورم ليفي وعائي صغير حميد في الجزء الجلدي من القرص الشعري. التريخوديسكوما عبارة عن ورم ليفي بسيط الشكل يشمل ورمًا ليفيًا ذا مكون وعائي بارز يملأ الأدمة الحليمية تحت البشرة الضامرة. كما في القرص الشعري الطبيعي، قد يوجد جريب شعر عند أحد أطراف الآفة الحطاطية.
HP:0032229	Perinuclear antineutrophil antibody positivity	إيجابية الأجسام المضادة حول النواة للعدلات	وجود أجسام مضادة للعدلات حول النواة	وجود الأجسام المضادة الذاتية في المصل التي تتفاعل مع البروتينات الموجودة أساسًا في المنطقة حول النواة للعدلات.
HP:0032230	Cytoplasmic antineutrophil antibody positivity	إيجابية الأجسام المضادة السيتوبلازمية للعدلات	وجود أجسام مضادة للعدلات في السيتوبلازم	وجود الأجسام المضادة الذاتية في المصل التي تتفاعل مع البروتينات الموجودة أساسًا في الحبيبات السيتوبلازمية للعدلات.
HP:0032231	Hypochromia	نقص الصباغ	خلايا الدم الحمراء أقل لونا	انطباع نوعي بأن خلايا الدم الحمراء أقل لونًا من العادة عند فحصها تحت المجهر، ويرتبط ذلك عادةً بكمية أقل من الهيموجلوبين في خلايا الدم الحمراء.
HP:0032232	Elevated circulating CK-MB concentration	ارتفاع تركيز CK-MB في الدم	زيادة CK-MB في الدم	تركيز CK-MB (= كرياتين كيناز MB) في دوران الدم يتجاوز الحد الأعلى للطبيعي.
HP:0032233	Increased circulating creatine kinase BB isoform	زيادة نسبة نظير كرياتين كيناز BB في الدم	ارتفاع كرياتين كيناز BB في الدم	زيادة تركيز نظير كرياتين كيناز BB في الدورة الدموية.
HP:0032234	Increased circulating creatine kinase MM isoform	زيادة نسبة نظير كرياتين كيناز MM في الدم	ارتفاع كرياتين كيناز MM في الدم	زيادة تركيز نظير كرياتين كيناز MM في الدورة الدموية.
HP:0032235	Anti-La/SS-B antibody positivity	إيجابية وجود أجسام مضادة ضد La/SS-B	وجود أجسام مضادة ضد La/SS-B	وجود أجسام مضادة ذاتية في الدورة الدموية تتفاعل ضد مولدات الضد الذاتية La/SSB.
HP:0032236	Increased circulating immature neutrophil count	زيادة عدد الخلايا النيوتروفيلية غير الناضجة في الدم	ارتفاع الخلايا النيوتروفيلية غير الناضجة في الدم	زيادة غير طبيعية في عدد الخلايا النيوتروفيلية غير الناضجة في الدورة الدموية المحيطية.
HP:0032237	Increased circulating myelocyte count	زيادة عدد الخلايا النقوية في الدم	ارتفاع الخلايا النقوية في الدم	عدد الخلايا النقوية في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. الخلايا النقوية هي خلايا نيوتروفيلية غير ناضجة بحجم من 12-18 ميكرومتر، ونواة دائرية أو بيضاوية بدون نووية، وسيتوبلازم بلون أزرق وردي مع حبيبات أولية وثانوية ونسبة نواة إلى سيتوبلازم 2:1.
HP:0032238	Increased circulating metamyelocyte count	زيادة عدد الخلايا النقوية المتزايدة في الدم	ارتفاع الخلايا النقوية المتزايدة في الدم	عدد الخلايا النقوية المتزايدة في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. الخلايا النقوية المتزايدة هي خلايا نيوتروفيلية غير ناضجة بحجم من 10-18 ميكرومتر، ونواة ذات شكل منحنى أو كلوي، وسيتوبلازم بلون أزرق وردي مع حبيبات ثانوية ونسبة نواة إلى سيتوبلازم 1.5:1.
HP:0032239	Increased circulating band cell count	زيادة عدد خلايا الشريط في الدم	ارتفاع خلايا الشريط في الدم	عدد خلايا الشريط في الدورة الدموية المحيطية أعلى من الحد الأعلى الطبيعي. خلايا الشريط هي خلايا نيوتروفيلية غير ناضجة بحجم من 10-18 ميكرومتر، ونواة على شكل حدوة بدون نووية، وسيتوبلازم بلون وردي فاتح مع حبيبات ثانوية صغيرة ونسبة نواة إلى سيتوبلازم 1:2.
HP:0032240	Elevated circulating E selectin level	زيادة مستوى E سيليكتين في الدم	ارتفاع E سيليكتين في الدم	زيادة تركيز E سيليكتين في الدورة الدموية.
HP:0100792	Acantholysis	الإكانثولوسيس	فقدان ارتباط الخلايا في البشرة	فقدان الروابط بين الخلايا، مثل الديسموزومات، مما يؤدي إلى فقدان التماسك بين الخلايا الكيراتينية.
HP:0008812	Flattened femoral head	رأس الفخذ المسطح	رأس الفخذ المسطح	رأس الفخذ الذي يأخذ شكلًا مسطحًا بشكل غير طبيعي.
HP:0008817	Aplastic pubic bone	عظم العانة المتوقف عن التكون	عدم وجود عظام العانة	عيب تطوري يتسم بعدم تطور عظم العانة.
HP:0008818	Large iliac wing	الجناح الحرقفي الكبير	جناح حوض كبير	زيادة في حجم جناح الحرقفة.
HP:0008819	Narrow femoral neck	عنق الفخذ الضيق	عنق الفخذ الضيق	قطر عنق الفخذ المضيق بشكل غير طبيعي، وهو الجزء الذي يربط بين رأس الفخذ وجسم عظمة الفخذ.
HP:0008820	Absent ossification of capital femoral epiphysis	عدم التعظم في مشاشة رأس عظم الفخذ	عدم تكوين العظم في رأس عظم الفخذ	غياب التعظم في المشاشة القريبة من الفخذ.
HP:0008821	Hypoplastic inferior ilia	الحرقفة السفلية ناقصة التنسج	الحرقفة السفلية ناقصة التنسج	
HP:0008822	Hypoplastic ischiopubic ramus	فرع العانة الإسكي ناقص التنسج	فرع العانة الإسكي غير مكتمل النمو	نقص تنسج فرع العانة الإسكي، والذي يتكون من الفرع العاني الناقص والأسفل للعارضة.
HP:0008824	Hypoplastic iliac body	جسم الحرقفة ناقص التنسج	جسم الحرقفة غير مكتمل النمو	نقص تنسج جسم الحرقفة.
HP:0008828	Delayed proximal femoral epiphyseal ossification	التأخر في تعظم المشاش الفخذي القريب	تأخر تعظم رأس الفخذ	تأخر في تعظم المشاش القريب لعظم الفخذ.
HP:0100796	Orchitis	التهاب الخصية	التهاب الخصية	التهاب في الخصية.
HP:0100797	Toenail dysplasia	خلل تنسجي في أظافر القدم	تطور غير طبيعي لأظافر القدم	خلل في تطور أظافر القدم.
HP:0100798	Fingernail dysplasia	خلل تنسجي في أظافر اليد	تطور غير طبيعي لأظافر اليد	خلل في تطور أظافر اليد.
HP:0100799	Neoplasm of the middle ear	ورم الأذن الوسطى	ورم في الأذن الوسطى	ورم (نمو غير طبيعي للأنسجة) في الأذن الوسطى.
HP:0100802	Malposition of the stomach	خلل وضعية المعدة	مكان غير طبيعي للمعدة	مكان تشريحي غير طبيعي للمعدة، وقد يكون ذلك بسبب دوران معوي غير طبيعي.
HP:0100804	Ungual fibroma	ورم ليفي حول ظفري	ورم بجانب الظفر	حطاطة بلون اللحم في أو حول سرير الظفر. قد تكون الأورام الليفية حول الظفرية (تنشأ تحت ثنية الظفر القريبة) أو تحت الظفرية (تنشأ تحت صفيحة الظفر).
HP:0100806	Sepsis	الإنتان	عدوى في مجرى الدم	يُعرف الإنتان بأنه خلل وظيفي في الأعضاء يمثل خطرًا على الحياة ناتج عن استجابة غير منظمة للمضيف تجاه العدوى.
HP:0008829	Delayed femoral head ossification	تأخر تعظم رأس الفخذ	تأخر تطور رأس عظم الفخذ	تأخر في عملية التعظم لرأس عظم الفخذ.
HP:0008830	Hypoplastic pubic ramus	قوس العانة غير المكتمل النمو	عدم نمو جزء من عظم العانة	تطور ناقص لقوس (فرع) من عظم العانة.
HP:0008833	Irregular acetabular roof	سقف الحُق غير منتظم	سقف الحُق غير منتظم	سقف الحُق يتمتع بشكل غير منتظم وغالبًا ما يكون غير مكتمل الاستدارة.
HP:0008835	Multicentric femoral head ossification	تعظم رأس الفخذ متعدد المراكز	تعظم متعدد برأس عظم الفخذ	يوجد عادة مركز تعظم واحد في رأس عظم الفخذ. ينطبق هذا المصطلح إذا كان هناك مراكز تعظم متعددة.
HP:0008838	Stippled calcification proximal humeral epiphyses	تكلسات مرقطة في نهايات العظم العلوي للذراع	تكلسات منقطة في نهايات العظم العلوي للذراع	تعني وجود تكلسات على شكل بقع في الأطراف المحددة للعظم الطويل في الذراع العلوي.
HP:0008839	Hypoplastic pelvis	الحوض غير مكتمل النمو	قصر نمو الحوض	نمو غير كامل لعظام الحوض.
HP:0008843	Hip osteoarthritis	التهاب المفاصل التنكسي في الورك	خشونة المفاصل في الورك	يعد التهاب المفاصل التنكسي في الورك حالة تسبب تدمير الغضاريف المحيطة بمفصل الورك مما يؤدي إلى الألم والتيبس.
HP:0008845	Mesomelic short stature	قصر القامة متوسط الأطراف		نوع من القصر القامة غير المتناسق يتميز بقصر غير متناسق في الأجزاء الوسطى من الأطراف (الساعد أو الساق).
HP:0007879	Allergic conjunctivitis	التهاب الملتحمة التحسسي	حساسية العين	التهاب الملتحمة التحسسي هو التهاب تحسسي يصيب ملتحمة العين.
HP:0007880	Marginal corneal dystrophy	حثل قرني هامشي	حيث حول القرنية	لا توجد معلومات متاحة حول تعريفه في النص المعطى.
HP:0100818	Long thorax	الصدر الطويل	القفص الصدري الطويل	زيادة الامتداد من الجزء السفلي إلى العلوي للصدر.
HP:0100819	Intestinal fistula	الناسور المعوي	اتصال غير طبيعي في الأمعاء	اتصال غير طبيعي بين الأمعاء وعضو مجوف آخر مثل المثانة أو الإحليل أو المهبل أو مناطق أخرى من الجهاز الهضمي.
HP:0100820	Glomerulopathy	اعتلال كبيبات الكلى	مرض في كبيبات الكلى	أمراض التهابية أو غير التهابية تؤثر على الكبيبات في نفرون الكلى.
HP:0100821	Urethrocele	قيلة إحليلية	تدلي الإحليل في المهبل	هو تدلي الإحليل الأنثوي إلى داخل المهبل.
HP:0100822	Rectocele	قيلة مستقيمية	تدلي المستقيم	قيلة مستقيمية تحدث بسبب تمزق في الحاجز المستقيمي المهبلي (الذي هو عادةً حاجز صلب ليفي يشبه الورقة بين المستقيم والمهبل). تبرز الأنسجة المستقيمية عبر هذا التمزق إلى داخل المهبل على هيئة فتق. هناك سببان رئيسيان لهذا التمزق: الولادة واستئصال الرحم.
HP:0100823	Genital hernia	الفتق التناسلي	الفتق في الأعضاء التناسلية	الفتق الذي يؤثر على منطقة الأعضاء التناسلية.
HP:0100825	Cheilitis	التهاب الشفة	التهاب الشفة	التهاب في الشفة.
HP:0100826	Neoplasm of the nail	ورم الأظافر	ورم في الأظافر	ورم (نمو غير عادي للأنسجة) في الظفر.
HP:0100827	Increased total lymphocyte count	زيادة تعداد الخلايا اللمفاوية الكلي	زيادة عدد الخلايا اللمفاوية	زيادة في العدد أو النسبة المئوية من الخلايا اللمفاوية في الدم.
HP:0100828	Increased total T cell count	زيادة تعداد خلايا تي الكلي	زيادة عدد خلايا تي	العدد المطلق لخلايا تي في حجم معين أعلى من الحد الأعلى الطبيعي.
HP:0100807	Long fingers	أصابع طويلة	أصابع طويلة	الأصبع الوسطى أطول بأكثر من انحرافين معياريين عن المتوسط للعمر الحملي أو فوق المئين السابع والتسعين للأطفال. والأصابع الخمسة تحتفظ بنسبة طولها الطبيعية بالنسبة لبعضها البعض، أو أصابع تبدو أطول بشكل غير متناسب مقارنةً براحة اليد.
HP:0100808	Gastric diverticulum	رتج معدي	جيب في المعدة	نتوء في جدار المعدة.
HP:0100809	Scalp tenderness	حنان في فروة الرأس	ألم في فروة الرأس	ألم أو انزعاج في فروة الرأس يظهر عند تحسسها.
HP:0100810	Pointed helix	أذن ذات لولب مدبب	أذن مدببة	اللولب المدبب هو تغيير في شكل الأذن حيث تكون نهايته مدببة بشكل ملحوظ.
HP:0100812	Halitosis	رائحة الفم الكريهة	رائحة الفم الكريهة	روائح غير محببة تخرج أثناء التنفس.
HP:0100813	Testicular torsion	التواء الخصية	التواء الخصية	التواء في الحبل المنوي للخصية يؤدي إلى قطع تدفق الدم إليها. الأعراض الأكثر شيوعاً هي ألم حاد في الخصية.
HP:0100814	Blue nevus	وحمة زرقاء	وحمة زرقاء	وحمة منفردة زرقاء، ناعمة السطح وعادة مستديرة أو بيضوية. يتميز علم الأنسجة لمختلف أنواع الوحمة الزرقاء بتكاثر عمودي أو بصلي الشكل لخلايا نائمة، خلايا صبغية شجرية، وحاملات الصبغ في أدمة متصلبة أو تحت الجلد.
HP:0100816	Lip hyperpigmentation	فرط التصبغ الشفوي	تغمق في لون الشفاه	فرط التصبغ الشفوي هو زيادة في صبغيات الشفاه مما يؤدي إلى تغمق لونها.
HP:0100817	Renovascular hypertension	ارتفاع ضغط الدم الوعائي الكلوي	ارتفاع ضغط الدم بسبب الكلية	وجود ارتفاع في ضغط الدم مرتبط بتضيق الشريان الكلوي.
HP:0007881	Central corneal dystrophy	حثل قرني مركزي	حيث في مركز القرنية	لا توجد معلومات متاحة حول تعريفه في النص المعطى.
